,LeftPolicy,RightPolicy,LLAf,LRAf,RLAf,RRAf
0,-1.7952572340221322,1.9679007589710156,-0.31377750027257106,-0.00012351917161137693,0.0003366978148001894,0.31307889805993616
1,-0.7532927455163005,0.7645738367694335,-0.3033578553875132,0.0,0.0,0.3010456288379207
2,-0.6915279019112182,0.6843969341354287,-0.30274020695146203,0.0,0.0,0.3002438598115804
3,-0.6892839978080676,0.6754779682904141,-0.30271776791043065,0.0,0.0,0.30015467015313063
4,-0.6899341645665757,0.6739359877441613,-0.3027242695780155,0.0,0.0,0.3001392503476677
5,-0.690282263450519,0.6736147204277447,-0.3027277505668554,0.0,0.0,0.30013603767450353
6,-0.6904128548628914,0.6735461162913459,-0.3027290564809788,0.0,0.0,0.3001353516331394
7,-0.6904583814832387,0.6735330629236477,-0.30272951174718227,0.0,0.0,0.30013522109946256
8,-0.6904739729443861,0.6735316175338728,-0.30272966766179416,0.0,0.0,0.3001352066455644
9,-0.6904793081742638,0.6735320796877894,-0.30272972101409285,0.0,0.0,0.3001352112671039
10,-0.6904811432099864,0.6735325589615814,-0.3027297393644498,0.0,0.0,0.3001352160598419
11,-0.6904817788640756,0.6735328351293594,-0.3027297457209909,0.0,0.0,0.30013521882151967
12,-0.6904820007069079,0.6735329699274422,-0.3027297479394191,0.0,0.0,0.3001352201695006
13,-0.6904820786870551,0.673533030829436,-0.3027297487192205,0.0,0.0,0.3001352207785205
14,-0.6904821062787694,0.6735330571696372,-0.3027297489951378,0.0,0.0,0.3001352210419225
15,-0.690482116099156,0.6735330682537657,-0.3027297490933417,0.0,0.0,0.30013522115276386
16,-0.6904821196125794,0.6735330728330382,-0.3027297491284759,0.0,0.0,0.3001352211985566
17,-0.6904821208752738,0.6735330747006509,-0.3027297491411028,0.0,0.0,0.30013522121723263
18,-0.6904821213308607,0.6735330754552552,-0.3027297491456586,0.0,0.0,0.30013522122477876
19,-0.6904821214957981,0.6735330757580479,-0.3027297491473079,0.0,0.0,0.3001352212278066
20,-0.6904821215556861,0.6735330758789152,-0.30272974914790685,0.0,0.0,0.3001352212290154
21,-0.6904821215774867,0.6735330759269709,-0.3027297491481249,0.0,0.0,0.30013522122949593
22,-0.6904821215854396,0.6735330759460191,-0.30272974914820444,0.0,0.0,0.3001352212296864
23,-0.6904821215883465,0.6735330759535519,-0.30272974914823364,0.0,0.0,0.3001352212297616
24,-0.6904821215894109,0.673533075956525,-0.30272974914824413,0.0,0.0,0.3001352212297914
