,Polarisation,CostLevelL,CostLevelR,InfoA,InfoNA,LeftPolicy,RightPolicy,LLAf,LRAf,RLAf,RRAf
0,0.7119283564681773,0.40211295932657487,0.3416278862644877,0.4331268383932345,0.2607491038802872,-0.007231716438648801,0.004476390754796625,-0.40934467576522365,0,0,0.3461042770192843
1,3.517788440189666,0.4186688913582942,0.25117184004231163,0.9248340927544173,0.6537406355708746,-0.0010639808826839185,5.73469938655949e-05,-0.41973287224097816,0,0,0.25122918703617725
2,3.5493674733388194,0.48817546628354147,0.3601727722475937,0.24122286954394645,0.025394875590070327,-0.03375135173790408,0.006227251288113041,-0.5219268180214456,0,0,0.3664000235357067
3,1.0308297796893178,0.4850182802717322,0.36508407305904755,0.6588261696888725,0.04829280967528492,-0.07331015827580369,0.033781271796549196,-0.5583284385475359,0,0,0.39886534485559677
4,2.576759315631929,0.20279088507826026,0.20646344915104498,0.8662055286585548,0.682439652492529,-8.291359603624199e-05,8.835938787630734e-05,-0.2028737986742965,0,0,0.20655180853892127
5,0.3110780354858547,0.1936453838516139,0.34810316588606727,0.7933575893781093,0.2011393773220249,-0.003766165106034998,0.01864495559755227,-0.1974115489576489,0,0,0.3667481214836195
6,0.8552447679666387,0.1618834929143605,0.16588038065518398,0.7492012111245141,0.08653242515148452,-0.003371390946551953,0.003599113646783171,-0.16525488386091244,0,0,0.16947949430196715
7,3.1480519133963734,0.10467193930420256,0.3708346657712125,0.7136143274639203,0.29276624301678345,-1.4538246156138694e-05,0.0025550088065045395,-0.1046864775503587,0,0,0.37338967457771705
8,3.3412421328014643,0.1766230218912812,0.11422333208286206,0.36094670671471407,0.314895845595805,-6.075661472374775e-06,1.0718928216645352e-06,-0.17662909755275358,0,0,0.11422440397568373
9,3.2529843003329084,0.3640677031470848,0.39403984151307914,0.5321828605460018,0.11935179922804841,-0.0045257259675541865,0.006740772246000676,-0.368593429114639,0,0,0.4007806137590798
10,1.8743964849364316,0.2634772634968693,0.401759771352609,0.5640153528181511,0.2064892359741126,-0.00237743899567585,0.00995203704113541,-0.2658547024925451,0,0,0.4117118083937444
11,2.9387669561210106,0.198385677429834,0.17709123478779706,0.18216826123439933,0.027275988234941796,-0.0007831617027994515,0.0005221468514280782,-0.19916883913263347,0,0,0.17761338163922513
12,2.5854580261502615,0.4656323092244151,0.16004526076174597,0.8126226012483516,0.1017959292454874,-0.03433268649289266,0.0007510712920399883,-0.4999649957173078,0,0,0.16079633205378596
13,1.9686854549760473,0.4505976629192864,0.39901385051849425,0.19950427098596002,0.18226895760603257,-0.0009471110388790115,0.0006006240447803325,-0.4515447739581654,0,0,0.3996144745632746
14,1.2060872875835387,0.2978655060922064,0.1392844954248741,0.7385451131898327,0.0959738437023638,-0.013723744441282269,0.0016713870484911333,-0.3115892505334887,0,0,0.1409558824733652
15,1.5674544691564636,0.18061762112928054,0.47298295507949695,0.41586925385280216,0.26363811039034213,-0.0003330690684362841,0.0076830388313626225,-0.1809506901977168,0,0,0.48066599391085957
16,3.2290808098488304,0.46932326923312795,0.46432978510705347,0.603262765660879,0.32677061333718876,-0.00493078604523333,0.004658570410545004,-0.4742540552783613,0,0,0.4689883555175985
17,2.3925914931335734,0.3229101333254969,0.15679172736278982,0.469664629991279,0.4547145138922071,-7.007637606432188e-05,5.424602965338441e-06,-0.3229802097015612,0,0,0.15679715196575517
18,2.9724562717897034,0.39504692552446286,0.4349962429762274,0.9454220316588214,0.2945230336361071,-0.005870953802173938,0.009265104748120883,-0.4009178793266368,0,0,0.4442613477243483
19,0.28502498435762924,0.2954555740046341,0.28337406553057126,0.6778876065305413,0.48734684594027244,-0.0021914316689507847,0.0019434322063695457,-0.29764700567358493,0,0,0.2853174977369408
20,3.0442397708473297,0.10982377010618355,0.26439507115372485,0.24219211814797992,0.06352994708226897,-4.3118226018902056e-05,0.001122143039611857,-0.10986688833220246,0,0,0.2655172141933367
21,1.1967326185333533,0.3956454370570218,0.1877888780086523,0.17050150964944033,0.06974716811918104,-0.01111951977553643,0.001156068236674129,-0.40676495683255826,0,0,0.18894494624532643
22,1.761470599604476,0.22431403151412793,0.2949417048877405,0.0784761012243026,0.04185805981410002,-0.0008338939680642731,0.002029706338535349,-0.2251479254821922,0,0,0.29697141122627585
23,0.1340399905254168,0.4236889127231076,0.4869917974143364,0.6686179779340503,0.21572047423110355,-0.026252630154672222,0.03715584666237328,-0.4499415428777798,0,0,0.5241476440767097
24,1.3790577122489291,0.4352442006683376,0.44442827506424143,0.8364016601059241,0.20890965386366192,-0.02439831203230456,0.02608645306507714,-0.45964251270064216,0,0,0.47051472812931855
25,2.3988619419941686,0.4622745060632808,0.2866159196389173,0.3112127392454651,0.1473287855616595,-0.009075639674774573,0.0013835163591033135,-0.4713501457380554,0,0,0.28799943599802064
26,1.8703228976841133,0.29470920775044795,0.3249015169706152,0.27727183508434217,0.21645372456374382,-0.0006358860077182849,0.000889938460437925,-0.29534509375816625,0,0,0.32579145543105315
27,1.6687443492419975,0.43383111324035384,0.16358616876600246,0.13738325183696776,0.08602063668191133,-0.00562403790282464,0.00023287252560592086,-0.43945515114317846,0,0,0.16381904129160837
28,0.18578495681768545,0.4414327698097097,0.21632637663216114,0.9461251162436537,0.2866384801314373,-0.030597152189509435,0.0044960992396409815,-0.4720299219992191,0,0,0.22082247587180212
29,1.6696800643695517,0.15982332406932814,0.23347325257238252,0.7891273505498373,0.01609020267648643,-0.004504754125189712,0.011342124789479206,-0.16432807819451786,0,0,0.24481537736186174
